ADM3_PCODE,first_case_date,source
MW30903,6/26/2020,MW30902
MW30904,6/26/2020,MW30902
MW30905,7/31/2020,MW30902
MW30906,6/26/2020,MW30902
MW30920,7/31/2020,MW30902
MW31001,4/7/2020,MW31001
MW31002,5/12/2020,MW31001
MW31003,6/16/2020,MW31001
MW31004,6/16/2020,MW31001
MW31005,7/21/2020,MW31001
MW31006,8/3/2020,MW30601
MW31007,5/12/2020,MW31001
MW31008,6/16/2020,MW31001
MW31009,7/21/2020,MW31001
MW31010,5/12/2020,MW31001
MW31011,5/12/2020,MW31001
MW31012,5/12/2020,MW31001
MW31013,6/29/2020,MW30601
MW31020,8/25/2020,MW31001
MW31021,5/12/2020,MW31001
MW31101,12/8/2020,MW31001
MW31102,11/3/2020,MW31001
MW31103,11/3/2020,MW31001
MW31104,5/25/2020,MW31104
MW31105,7/21/2020,MW31001
MW31106,8/25/2020,MW31001
MW31107,5/5/2020,MW31001
MW31108,9/29/2020,MW31001
MW31109,11/3/2020,MW31001
MW31110,6/16/2020,MW31001
MW31120,9/29/2020,MW31001
MW31201,7/14/2020,MW30221
MW31202,6/13/2020,MW31202
MW31203,7/18/2020,MW31202
MW31204,7/14/2020,MW30221
MW31205,8/18/2020,MW30221
MW31206,8/30/2020,MW31302
MW31207,8/18/2020,MW30221
MW31208,8/18/2020,MW30221
MW31209,8/18/2020,MW30221
MW31210,8/22/2020,MW31202
MW31220,8/18/2020,MW30221
MW31221,7/14/2020,MW30221
MW31301,6/29/2020,MW30601
MW31302,6/21/2020,MW31302
MW31303,7/26/2020,MW31302
MW31304,7/26/2020,MW31302
MW31320,8/3/2020,MW30601
MW31431,5/1/2020,MW31438
MW31432,5/15/2020,MW31438
MW31433,5/15/2020,MW31438
MW31434,5/1/2020,MW31438
MW31435,5/15/2020,MW31438
MW31436,5/15/2020,MW31438
MW31437,5/1/2020,MW31438
MW31438,4/17/2020,MW31438
MW31439,5/15/2020,MW31438
MW31440,5/1/2020,MW31438
MW31531,5/16/2020,MW31544
MW31532,5/2/2020,MW31544
MW31533,4/18/2020,MW31544
MW31534,5/2/2020,MW31544
MW31535,5/16/2020,MW31544
MW31536,5/16/2020,MW31544
MW31537,5/16/2020,MW31544
MW31538,5/16/2020,MW31544
MW31539,5/16/2020,MW31544
MW31540,5/30/2020,MW31544
MW31541,5/16/2020,MW31544
MW31542,5/2/2020,MW31544
MW31543,4/18/2020,MW31544
MW31544,4/4/2020,MW31544
MW31545,4/18/2020,MW31544
MW31546,4/18/2020,MW31544
MW31547,5/2/2020,MW31544
MW31548,5/16/2020,MW31544
MW31549,5/30/2020,MW30508
MW31550,5/16/2020,MW31544
MW31551,4/18/2020,MW31544
MW31552,5/2/2020,MW31544
MW31553,5/2/2020,MW31544
