"","Day","State","People"
"880",110,"Susceptible",18811366.2128753
"881",111,"Critical",0
"882",111,"Dead",0
"883",111,"Exposed",0
"884",111,"Hospitalized",0
"885",111,"Infected",0
"886",111,"New Infections",0
"887",111,"Recovered",0
"888",111,"Susceptible",18811366.2128753
"889",112,"Critical",0
"890",112,"Dead",0
"891",112,"Exposed",0
"892",112,"Hospitalized",0
"893",112,"Infected",0
"894",112,"New Infections",0
"895",112,"Recovered",0
"896",112,"Susceptible",18811366.2128753
"897",113,"Critical",0
"898",113,"Dead",0
"899",113,"Exposed",0
"900",113,"Hospitalized",0
"901",113,"Infected",0
"902",113,"New Infections",0
"903",113,"Recovered",0
"904",113,"Susceptible",18811366.2128753
"905",114,"Critical",0
"906",114,"Dead",0
"907",114,"Exposed",0
"908",114,"Hospitalized",0
"909",114,"Infected",0
"910",114,"New Infections",0
"911",114,"Recovered",0
"912",114,"Susceptible",18811366.2128753
"913",115,"Critical",0
"914",115,"Dead",0
"915",115,"Exposed",0
"916",115,"Hospitalized",0
"917",115,"Infected",0
"918",115,"New Infections",0
"919",115,"Recovered",0
"920",115,"Susceptible",18811366.2128753
"921",116,"Critical",0
"922",116,"Dead",0
"923",116,"Exposed",0
"924",116,"Hospitalized",0
"925",116,"Infected",0
"926",116,"New Infections",0
"927",116,"Recovered",0
"928",116,"Susceptible",18811366.2128753
"929",117,"Critical",0
"930",117,"Dead",0
"931",117,"Exposed",0
"932",117,"Hospitalized",0
"933",117,"Infected",0
"934",117,"New Infections",0
"935",117,"Recovered",0
"936",117,"Susceptible",18811366.2128753
"937",118,"Critical",0
"938",118,"Dead",0
"939",118,"Exposed",0
"940",118,"Hospitalized",0
"941",118,"Infected",0
"942",118,"New Infections",0
"943",118,"Recovered",0
"944",118,"Susceptible",18811366.2128753
"945",119,"Critical",0
"946",119,"Dead",0
"947",119,"Exposed",0
"948",119,"Hospitalized",0
"949",119,"Infected",0
"950",119,"New Infections",0
"951",119,"Recovered",0
"952",119,"Susceptible",18811366.2128753
"953",120,"Critical",0
"954",120,"Dead",0
"955",120,"Exposed",130
"956",120,"Hospitalized",0
"957",120,"Infected",0
"958",120,"New Infections",0
"959",120,"Recovered",0
"960",120,"Susceptible",18811366.2128753
"961",121,"Critical",0
"962",121,"Dead",0
"963",121,"Exposed",116.838020372787
"964",121,"Hospitalized",0
"965",121,"Infected",37.14285718
"966",121,"New Infections",23.9808775527873
"967",121,"Recovered",0
"968",121,"Susceptible",18811342.2319977
"969",122,"Critical",0
"970",122,"Dead",0
"971",122,"Exposed",114.383845409174
"972",122,"Hospitalized",0.122410914775434
"973",122,"Infected",59.9129038292807
"974",122,"New Infections",30.9281166048512
"975",122,"Recovered",10.4898340044082
"976",122,"Susceptible",18811311.3038811
"977",123,"Critical",0.00424294457860151
"978",123,"Dead",0
"979",123,"Exposed",119.149770094527
"980",123,"Hospitalized",0.290093407830021
"981",123,"Infected",75.4760300105277
"982",123,"New Infections",37.4470234063693
"983",123,"Recovered",27.4358811065447
"984",123,"Susceptible",18811273.8568577
"985",124,"Critical",0.0139959128473377
"986",124,"Dead",0.000110389758385035
"987",124,"Exposed",128.997615634933
"988",124,"Hospitalized",0.467018192665194
"989",124,"Infected",87.9542414755771
"990",124,"New Infections",43.8906370300285
"991",124,"Recovered",48.8136729882548
"992",124,"Susceptible",18811229.9662207
"993",125,"Critical",0.0291988639595351
"994",125,"Dead",0.000497799625736422
"995",125,"Exposed",142.633108291283
"996",125,"Hospitalized",0.638647043449109
"997",125,"Infected",99.6809198185484
"998",125,"New Infections",50.4919543031873
"999",125,"Recovered",73.7562370803575
"1000",125,"Susceptible",18811179.4742664
"1001",126,"Critical",0.0492896848956683
"1002",126,"Dead",0.00135585461350622
