"","time","S","E","I","H","C","R","D","hosp","crits"
"164",163,27702.1276729231,0.00559524216273647,0.00954296854255499,0.0751923167091935,4.82342310129524,30860.510678449,508.803164603509,4415.03032697673,865.592099337135
"165",164,27702.1265064116,0.00477221252541347,0.0081392439208871,0.0664509846027405,4.53286598700935,30860.6379147233,508.975938509366,4415.03042713307,865.593832791341
"166",165,27702.1255114878,0.00407024426503926,0.00694200173712062,0.0587229577326339,4.2597175729023,30860.7570337797,509.138302935426,4415.03051255694,865.595364689406
"167",166,27702.1246629142,0.00347153036964262,0.00592087289398807,0.0518912076483637,4.0029457666944,30860.8685762506,509.290881768481,4415.03058541523,865.596718400663
"168",167,27702.1239391553,0.0029608841996159,0.00504993527728377,0.0458521370372476,3.76157834665555,30860.9730441908,509.434261912257,4415.03064755697,865.597914598821
"169",168,27702.1233218512,0.00252534706315007,0.00430710025640354,0.0405140783820947,3.53469970772793,30861.0709040518,509.568995390026,4415.03070055852,865.598971565196
"170",169,27702.1227953524,0.00215387410072429,0.00367353921471291,0.0357959447542307,3.32144772466211,30861.162589436,509.695601359806,4415.03074576356,865.599905461056
"171",170,27702.1223463001,0.00183704490332414,0.00313317206627096,0.0316259696062704,3.12101065292973,30861.2485037305,509.81456809646,4415.03078431907,865.600730581759
"172",171,27702.1219633017,0.00156682115082327,0.00267228992528367,0.0279406596442453,2.93262432132583,30861.3290223749,509.926354775748,4415.03081720321,865.601459567521
"173",172,27702.1216366418,0.00133634562970168,0.00227920399964,0.0246838479448367,2.75556943883155,30861.4044949739,510.031393178852,4415.03084525014,865.602103593925
"174",173,27702.1213580326,0.00113977256867102,0.00194393971483818,0.021805852109126,2.58916903904836,30861.4752472357,510.130089303031,4415.03086917145,865.602672541169
"175",174,27702.1211204059,0.00097211541236033,0.00165799095973158,0.0192627293888113,2.43278606086513,30861.5415827448,510.222824880088,4415.03088957402,865.603175143611
"176",175,27702.1209177337,0.000829119913244504,0.00141410526877816,0.0170156172027184,2.28582106104973,30861.6037845884,510.309958806677,4415.0309069754,865.603619122087
"177",176,27702.1207448746,0.000707158957262121,0.00120609529973642,0.0150301491405406,2.14771005128129,30861.6621168489,510.391828492053,4415.03092181704,865.604011300993
"178",177,27702.1205974457,0.000603140694502423,0.00102868649871154,0.013275945647532,2.01792248635714,30861.7168259539,510.468751107543,4415.03093447523,865.604357710294
"179",178,27702.1204717026,0.000514422528010697,0.000877373421833472,0.0117261184183274,1.89595918258621,30861.7681420376,510.541024875629,4415.03094527151,865.604663684722
"180",179,27702.1203644543,0.000438753424184256,0.000748316138999411,0.0103569053674754,1.781350636406,30861.8162800018,510.608930106959,4415.03095447982,865.604933936764
"181",180,27702.1202729818,0.000374215187128561,0.000638242452882378,0.00914730813398064,1.67365529581126,30861.8614405926,510.672730264939,4415.03096233362,865.60517262911
"182",181,27702.1201949645,0.000319169990368262,0.000544360347632619,0.00807875803189641,1.57245787662597,30861.9038114278,510.732673000436,4415.03096903217,865.605383441384
"183",182,27702.1201284231,0.000272221631246134,0.000464287822056334,0.00713484107729618,1.47736783962328,30861.9435678973,510.788991084386,4415.03097474539,865.605569625016
