adm_id,name,country,level,adm2,adm1,city,adm_area,day_n1,date_n1,day_n2,date_n2,day_n5,date_n5,day_n10,date_n10,day_n25,date_n25,day_n50,date_n50,day_n100,date_n100,day_n250,date_n250,day_n1000,date_n1000
10520,Mzimba Boma,mw,3,Mzimba,Northern,,10.642106713481297,20.0,2020-03-23,22.0,2020-03-25,25.0,2020-03-28,28.0,2020-03-31,31.0,2020-04-03,34.0,2020-04-06,36.0,2020-04-08,40.0,2020-04-12,46.0,2020-04-18
10601,TA Mkumpha,mw,3,Likoma,Northern,,19.214305031816824,35.0,2020-04-07,38.0,2020-04-10,41.0,2020-04-13,44.0,2020-04-16,47.0,2020-04-19,50.0,2020-04-22,54.0,2020-04-26,60.0,2020-05-02,76.0,2020-05-18
10620,Likoma Boma,mw,3,Likoma,Northern,,1.332880281951567,41.0,2020-04-13,43.0,2020-04-15,47.0,2020-04-19,50.0,2020-04-22,55.0,2020-04-27,59.0,2020-05-01,66.0,2020-05-08,80.0,2020-05-22,,
10701,Chibavi East Ward,mw,3,Mzuzu City,Northern,Mzuzu City,0.847332391874032,12.0,2020-03-15,14.0,2020-03-17,17.0,2020-03-20,20.0,2020-03-23,23.0,2020-03-26,25.0,2020-03-28,28.0,2020-03-31,31.0,2020-04-03,36.0,2020-04-08
10702,Chibavi West Ward,mw,3,Mzuzu City,Northern,Mzuzu City,1.60177984490279,9.0,2020-03-12,12.0,2020-03-15,15.0,2020-03-18,17.0,2020-03-20,20.0,2020-03-23,23.0,2020-03-26,25.0,2020-03-28,28.0,2020-03-31,33.0,2020-04-05
10703,Chibanja Ward,mw,3,Mzuzu City,Northern,Mzuzu City,2.158177143316298,9.0,2020-03-12,11.0,2020-03-14,14.0,2020-03-17,17.0,2020-03-20,20.0,2020-03-23,22.0,2020-03-25,25.0,2020-03-28,28.0,2020-03-31,33.0,2020-04-05
10704,Chiputula Ward,mw,3,Mzuzu City,Northern,Mzuzu City,1.082965187477,11.0,2020-03-14,13.0,2020-03-16,17.0,2020-03-20,19.0,2020-03-22,22.0,2020-03-25,25.0,2020-03-28,27.0,2020-03-30,30.0,2020-04-02,35.0,2020-04-07
10705,Jombo - Kaning'ina Ward,mw,3,Mzuzu City,Northern,Mzuzu City,5.470676243583663,5.0,2020-03-08,8.0,2020-03-11,11.0,2020-03-14,14.0,2020-03-17,17.0,2020-03-20,19.0,2020-03-22,22.0,2020-03-25,25.0,2020-03-28,30.0,2020-04-02
10706,Katawa Ward,mw,3,Mzuzu City,Northern,Mzuzu City,4.605520889151552,10.0,2020-03-13,12.0,2020-03-15,16.0,2020-03-19,18.0,2020-03-21,21.0,2020-03-24,24.0,2020-03-27,26.0,2020-03-29,29.0,2020-04-01,34.0,2020-04-06
10707,Luwinga Ward,mw,3,Mzuzu City,Northern,Mzuzu City,13.084080532689715,8.0,2020-03-11,9.0,2020-03-12,12.0,2020-03-15,14.0,2020-03-17,17.0,2020-03-20,20.0,2020-03-23,22.0,2020-03-25,25.0,2020-03-28,30.0,2020-04-02
10708,Masasa Ward,mw,3,Mzuzu City,Northern,Mzuzu City,19.094542780156097,2.0,2020-03-05,6.0,2020-03-09,10.0,2020-03-13,13.0,2020-03-16,16.0,2020-03-19,19.0,2020-03-22,21.0,2020-03-24,24.0,2020-03-27,29.0,2020-04-01
10709,Mchengautuwa East Ward,mw,3,Mzuzu City,Northern,Mzuzu City,4.413630350578218,7.0,2020-03-10,9.0,2020-03-12,12.0,2020-03-15,14.0,2020-03-17,17.0,2020-03-20,20.0,2020-03-23,22.0,2020-03-25,25.0,2020-03-28,30.0,2020-04-02
10710,Mchengautuwa West Ward,mw,3,Mzuzu City,Northern,Mzuzu City,22.876703122186953,10.0,2020-03-13,12.0,2020-03-15,15.0,2020-03-18,18.0,2020-03-21,21.0,2020-03-24,23.0,2020-03-26,26.0,2020-03-29,29.0,2020-04-01,34.0,2020-04-06
10711,Msongwe Ward,mw,3,Mzuzu City,Northern,Mzuzu City,17.658097010294835,10.0,2020-03-13,12.0,2020-03-15,15.0,2020-03-18,17.0,2020-03-20,21.0,2020-03-24,23.0,2020-03-26,25.0,2020-03-28,29.0,2020-04-01,34.0,2020-04-06
10712,Mzilawaingwe Ward,mw,3,Mzuzu City,Northern,Mzuzu City,1.163844783069116,11.0,2020-03-14,13.0,2020-03-16,16.0,2020-03-19,19.0,2020-03-22,22.0,2020-03-25,24.0,2020-03-27,27.0,2020-03-30,30.0,2020-04-02,35.0,2020-04-07
10713,Nkhorongo - Lupaso Ward,mw,3,Mzuzu City,Northern,Mzuzu City,32.81392932118229,12.0,2020-03-15,14.0,2020-03-17,17.0,2020-03-20,19.0,2020-03-22,22.0,2020-03-25,25.0,2020-03-28,27.0,2020-03-30,30.0,2020-04-02,35.0,2020-04-07
10714,Zolozolo East Ward,mw,3,Mzuzu City,Northern,Mzuzu City,18.108157772960826,11.0,2020-03-14,13.0,2020-03-16,16.0,2020-03-19,19.0,2020-03-22,22.0,2020-03-25,24.0,2020-03-27,27.0,2020-03-30,30.0,2020-04-02,35.0,2020-04-07
10715,Zolozolo West Ward,mw,3,Mzuzu City,Northern,Mzuzu City,2.001055439038411,12.0,2020-03-15,14.0,2020-03-17,17.0,2020-03-20,19.0,2020-03-22,22.0,2020-03-25,25.0,2020-03-28,27.0,2020-03-30,30.0,2020-04-02,35.0,2020-04-07
20101,TA Kaluluma,mw,3,Kasungu,Central,,313.5777980362911,22.0,2020-03-25,24.0,2020-03-27,27.0,2020-03-30,30.0,2020-04-02,33.0,2020-04-05,35.0,2020-04-07,38.0,2020-04-10,42.0,2020-04-14,48.0,2020-04-20
20102,TA Chisemphere,mw,3,Kasungu,Central,,94.14151216009,25.0,2020-03-28,27.0,2020-03-30,30.0,2020-04-02,33.0,2020-04-05,36.0,2020-04-08,39.0,2020-04-11,42.0,2020-04-14,46.0,2020-04-18,53.0,2020-04-25
20103,TA Simlemba,mw,3,Kasungu,Central,,312.78912270775476,29.0,2020-04-01,32.0,2020-04-04,35.0,2020-04-07,37.0,2020-04-09,41.0,2020-04-13,44.0,2020-04-16,47.0,2020-04-19,51.0,2020-04-23,59.0,2020-05-01
20104,STA M'nyanja,mw,3,Kasungu,Central,,290.71337604780297,23.0,2020-03-26,25.0,2020-03-28,28.0,2020-03-31,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,39.0,2020-04-11,43.0,2020-04-15,49.0,2020-04-21
20105,STA Chisikwa,mw,3,Kasungu,Central,,44.508563949993814,25.0,2020-03-28,28.0,2020-03-31,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,40.0,2020-04-12,43.0,2020-04-15,47.0,2020-04-19,56.0,2020-04-28
20106,TA Kaomba,mw,3,Kasungu,Central,,261.6127820033523,23.0,2020-03-26,25.0,2020-03-28,29.0,2020-04-01,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,39.0,2020-04-11,43.0,2020-04-15,48.0,2020-04-20
20107,TA Kawamba,mw,3,Kasungu,Central,,521.2313696430667,33.0,2020-04-05,35.0,2020-04-07,38.0,2020-04-10,41.0,2020-04-13,44.0,2020-04-16,47.0,2020-04-19,50.0,2020-04-22,54.0,2020-04-26,60.0,2020-05-02
20108,STA Nthunduwala,mw,3,Kasungu,Central,,124.97550136763644,47.0,2020-04-19,49.0,2020-04-21,53.0,2020-04-25,56.0,2020-04-28,60.0,2020-05-02,64.0,2020-05-06,68.0,2020-05-10,75.0,2020-05-17,90.0,2020-06-01
20109,TA Njombwa,mw,3,Kasungu,Central,,290.7364674172359,23.0,2020-03-26,26.0,2020-03-29,29.0,2020-04-01,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,39.0,2020-04-11,43.0,2020-04-15,49.0,2020-04-21
20110,TA Chilowamatambe,mw,3,Kasungu,Central,,247.71382205029786,28.0,2020-03-31,30.0,2020-04-02,34.0,2020-04-06,36.0,2020-04-08,39.0,2020-04-11,42.0,2020-04-14,45.0,2020-04-17,48.0,2020-04-20,55.0,2020-04-27
20111,STA Chambwe,mw,3,Kasungu,Central,,80.91921581519091,32.0,2020-04-04,34.0,2020-04-06,38.0,2020-04-10,40.0,2020-04-12,44.0,2020-04-16,47.0,2020-04-19,50.0,2020-04-22,54.0,2020-04-26,62.0,2020-05-04
20112,TA Chulu,mw,3,Kasungu,Central,,238.3020703331968,29.0,2020-04-01,31.0,2020-04-03,35.0,2020-04-07,37.0,2020-04-09,41.0,2020-04-13,43.0,2020-04-15,46.0,2020-04-18,50.0,2020-04-22,58.0,2020-04-30
20113,STA Chisinga,mw,3,Kasungu,Central,,154.75857788798757,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,39.0,2020-04-11,43.0,2020-04-15,46.0,2020-04-18,49.0,2020-04-21,53.0,2020-04-25,61.0,2020-05-03
20114,STA Mphomwa,mw,3,Kasungu,Central,,169.75254619814535,26.0,2020-03-29,29.0,2020-04-01,32.0,2020-04-04,34.0,2020-04-06,38.0,2020-04-10,40.0,2020-04-12,43.0,2020-04-15,47.0,2020-04-19,55.0,2020-04-27
20115,STA Chaima,mw,3,Kasungu,Central,,238.0614970017202,38.0,2020-04-10,40.0,2020-04-12,43.0,2020-04-15,46.0,2020-04-18,49.0,2020-04-21,52.0,2020-04-24,55.0,2020-04-27,60.0,2020-05-02,67.0,2020-05-09
20116,TA Kaphaizi,mw,3,Kasungu,Central,,13.690840178669516,38.0,2020-04-10,40.0,2020-04-12,44.0,2020-04-16,47.0,2020-04-19,51.0,2020-04-23,55.0,2020-04-27,58.0,2020-04-30,64.0,2020-05-06,75.0,2020-05-17
20117,STA Mangwazu,mw,3,Kasungu,Central,,35.73324318780665,33.0,2020-04-05,36.0,2020-04-08,39.0,2020-04-11,42.0,2020-04-14,46.0,2020-04-18,49.0,2020-04-21,52.0,2020-04-24,57.0,2020-04-29,65.0,2020-05-07
20118,STA Mawawa,mw,3,Kasungu,Central,,51.86027909219689,36.0,2020-04-08,38.0,2020-04-10,41.0,2020-04-13,44.0,2020-04-16,48.0,2020-04-20,51.0,2020-04-23,54.0,2020-04-26,58.0,2020-04-30,66.0,2020-05-08
20119,TA Lukwa,mw,3,Kasungu,Central,,265.29958330198053,29.0,2020-04-01,32.0,2020-04-04,35.0,2020-04-07,37.0,2020-04-09,41.0,2020-04-13,43.0,2020-04-15,46.0,2020-04-18,50.0,2020-04-22,56.0,2020-04-28
20120,Kasungu Boma,mw,3,Kasungu,Central,,37.553064847838925,21.0,2020-03-24,23.0,2020-03-26,26.0,2020-03-29,29.0,2020-04-01,32.0,2020-04-04,34.0,2020-04-06,37.0,2020-04-09,40.0,2020-04-12,46.0,2020-04-18
20121,TA Santhe,mw,3,Kasungu,Central,,350.9731795226639,32.0,2020-04-04,35.0,2020-04-07,38.0,2020-04-10,40.0,2020-04-12,43.0,2020-04-15,46.0,2020-04-18,48.0,2020-04-20,52.0,2020-04-24,58.0,2020-04-30
20122,TA Chidzuma,mw,3,Kasungu,Central,,161.77723973709746,35.0,2020-04-07,37.0,2020-04-09,40.0,2020-04-12,42.0,2020-04-14,46.0,2020-04-18,48.0,2020-04-20,51.0,2020-04-23,55.0,2020-04-27,62.0,2020-05-04
20123,TA Wimbe,mw,3,Kasungu,Central,,895.1455587711149,27.0,2020-03-30,29.0,2020-04-01,33.0,2020-04-05,35.0,2020-04-07,38.0,2020-04-10,41.0,2020-04-13,43.0,2020-04-15,47.0,2020-04-19,53.0,2020-04-25
