ADM3_PCODE,first_case_date,source,ADM2_PCODE,ADM3_EN,ADM2_EN
MW30506,2020-04-14,MW30507,MW305,TA Kuntaja,Blantyre
MW30507,2020-04-04,MW30507,MW305,TA Machinjili,Blantyre
MW30508,2020-04-14,MW30507,MW305,TA Somba,Blantyre
MW30601,2020-05-25,MW30601,MW306,TA Kanduku,Mwanza
MW30602,2020-04-22,MW31001,MW306,TA Nthache,Mwanza
MW30620,2020-04-27,MW31001,MW306,Mwanza Boma,Mwanza
MW30701,2020-04-17,MW31001,MW307,TA Nsabwe,Thyolo
MW30702,2020-04-17,MW31001,MW307,SC Thukuta,Thyolo
MW30703,2020-04-22,MW31001,MW307,SC Mbawela,Thyolo
MW30704,2020-04-17,MW31001,MW307,TA Changata,Thyolo
MW30705,2020-04-14,MW30507,MW307,SC Mphuka,Thyolo
MW30706,2020-04-17,MW31001,MW307,SC Kwethemule,Thyolo
MW30707,2020-04-19,MW30507,MW307,TA Kapichi,Thyolo
MW30708,2020-05-06,MW30708,MW307,TA Nchilamwela,Thyolo
MW30709,2020-04-14,MW30507,MW307,TA Chimaliro,Thyolo
MW30710,2020-04-09,MW30507,MW307,TA Bvumbwe,Thyolo
MW30711,2020-04-14,MW30507,MW307,TA Thomas,Thyolo
MW30720,2020-04-19,MW30507,MW307,Thyolo Boma,Thyolo
MW30721,2020-04-19,MW30507,MW307,Luchenza Town,Thyolo
MW30801,2020-05-11,MW30801,MW308,TA Mabuka,Mulanje
MW30802,2020-04-29,MW30507,MW308,SC Laston Njema,Mulanje
MW30803,2020-04-24,MW30507,MW308,TA Chikumbu,Mulanje
MW30804,2020-04-19,MW30507,MW308,TA Nthiramanja,Mulanje
MW30805,2020-04-24,MW30507,MW308,TA Nkanda,Mulanje
MW30806,2020-04-19,MW30507,MW308,SC Juma,Mulanje
MW30820,2020-04-29,MW30507,MW308,Mulanje Boma,Mulanje
MW30901,2020-04-19,MW30507,MW309,TA Mkhumba,Phalombe
MW30902,2020-05-22,MW30902,MW309,TA Nazombe,Phalombe
MW30903,2020-04-24,MW30507,MW309,TA Chiwalo,Phalombe
MW30920,2020-04-24,MW30507,MW309,Phalombe Boma,Phalombe
MW31001,2020-04-07,MW31001,MW310,TA Ngabu,Chikwawa
MW31002,2020-04-12,MW31001,MW310,TA Lundu,Chikwawa
MW31003,2020-04-17,MW31001,MW310,TA Chapananga,Chikwawa
MW31004,2020-04-17,MW31001,MW310,TA Maseya,Chikwawa
MW31005,2020-04-22,MW31001,MW310,TA Katunga,Chikwawa
MW31006,2020-04-19,MW30507,MW310,TA Kasisi,Chikwawa
MW31007,2020-04-12,MW31001,MW310,TA Makhwira,Chikwawa
MW31008,2020-04-12,MW31001,MW310,Lengwe National Park,Chikwawa
MW31020,2020-04-24,MW30507,MW310,Chikwawa Boma,Chikwawa
MW31101,2020-05-02,MW31001,MW311,TA Ndamera,Nsanje
MW31102,2020-05-02,MW31001,MW311,TA Chimombo,Nsanje
MW31103,2020-04-27,MW31001,MW311,TA Nyachikadza,Nsanje
MW31104,2020-05-25,MW31104,MW311,TA Mlolo,Nsanje
MW31105,2020-04-17,MW31001,MW311,TA Tengani,Nsanje
MW31106,2020-04-12,MW31001,MW311,SC Mbenje,Nsanje
MW31107,2020-04-22,MW31001,MW311,TA Malemia,Nsanje
MW31108,2020-04-27,MW31001,MW311,TA Ngabu,Nsanje
MW31109,2020-05-02,MW31001,MW311,SC Makoka,Nsanje
MW31120,2020-04-27,MW31001,MW311,Nsanje Boma,Nsanje
MW31201,2020-04-19,MW30507,MW312,TA Nsamala,Balaka
MW31204,2020-06-13,MW31204,MW312,TA Kalembo,Balaka
MW31220,2020-04-24,MW30507,MW312,Balaka Town,Balaka
MW31301,2020-04-27,MW31001,MW313,TA Dambe,Neno
MW31302,2020-06-21,MW30401,MW313,TA Mlauli,Neno
MW31303,2020-04-19,MW30507,MW313,TA Symon,Neno
MW31304,2020-04-24,MW30507,MW313,TA Ngozi,Neno
MW31320,2020-04-29,MW30507,MW313,Neno Boma,Neno
MW314,2020-04-17,MW314,MW314,,Zomba City
MW315,2020-04-09,MW30507,MW315,,Blantyre City
